,id,location,gender,department,study level,total_duration,most_used_group
3307,5672,2,1.0,8.0,0.0,13416.0,Toolbox
3308,5674,2,1.0,9.0,1.0,133.0,Toolbox
3309,5675,2,0.0,15.0,0.0,6.0,Other
3310,5676,2,1.0,8.0,2.0,22033.0,3D-Printer
3311,5678,2,0.0,12.0,0.0,430189.0,3D-Printer
3312,5680,2,1.0,12.0,0.0,42147.0,Toolbox
3313,5682,2,1.0,12.0,0.0,192.0,Toolbox
3314,5683,1,1.0,1.0,1.0,3776.0,Toolbox
3315,5684,1,1.0,15.0,0.0,43087.0,Other
3316,5688,2,1.0,12.0,1.0,6895.0,Toolbox
3317,5689,2,1.0,5.0,1.0,3399.0,Lasercutter
3318,5690,2,1.0,8.0,1.0,6450.0,Lasercutter
3319,5694,1,0.0,14.0,0.0,1462.0,Lasercutter
3320,5698,2,1.0,15.0,1.0,385578.0,3D-Printer
3321,5700,1,0.0,9.0,2.0,14657.0,Lasercutter
3322,5701,1,0.0,14.0,2.0,12599.0,Lasercutter
3323,5706,2,1.0,12.0,1.0,265000.0,3D-Printer
3324,5707,2,1.0,12.0,0.0,743768.0,3D-Printer
3325,5708,2,1.0,7.0,2.0,63764.0,Dirt & Dust
3326,5709,2,1.0,12.0,1.0,72852.0,3D-Printer
3327,5710,1,1.0,14.0,2.0,4363.0,Lasercutter
3328,5711,1,0.0,8.0,0.0,256.0,Toolbox
3329,5712,1,0.0,14.0,2.0,13.0,3D-Printer
3330,5714,2,1.0,10.0,0.0,362373.0,3D-Printer
3331,5716,2,1.0,12.0,0.0,5815.0,Toolbox
3332,5717,2,1.0,12.0,0.0,1304.0,Toolbox
3333,5719,2,1.0,8.0,1.0,3442.0,Toolbox
3334,5720,2,1.0,12.0,1.0,228168.0,Toolbox
3335,5723,2,0.0,0.0,0.0,52932.0,Toolbox
3336,5724,2,0.0,1.0,2.0,213123.0,3D-Printer
3337,5726,2,1.0,6.0,1.0,15946.0,Lasercutter
3338,5729,2,1.0,10.0,0.0,722060.0,3D-Printer
3339,5732,2,0.0,12.0,1.0,13544.0,Lasercutter
3340,5734,2,1.0,12.0,0.0,91302.0,DLP Printer
3341,5736,1,1.0,8.0,1.0,5492.0,Other
